age,education,hispanic,household_income,race_ethnicity,extra_covid_worn_mask,state,trump_biden,binary,household_income_grouped,education_grouped,age_group
49,Associate Degree,not hispanic,"$75,000 to $79,999",white,Yes,WI,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,36-55
39,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",white,Yes,VA,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree,36-55
46,"College Degree (such as B.A., B.S.)",not hispanic,"$175,000 to $199,999",white,Yes,VA,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,36-55
75,High school graduate,not hispanic,"$65,000 to $69,999",white,Yes,TX,Donald Trump,1,$50k to $75k,Completed HS,56-75
52,High school graduate,not hispanic,"Less than $14,999",white,Yes,WA,Donald Trump,1,$25k or less,Completed HS,36-55
44,Other post high school vocational training,not hispanic,"Less than $14,999",white,Yes,OH,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
21,"Completed some college, but no degree",not hispanic,"$80,000 to $84,999",white,Yes,MA,Joe Biden,0,$75k to $100k,Participated in Higher Education,18-35
38,"Completed some college, but no degree",not hispanic,"Less than $14,999",black/african american/negro,No,TX,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
69,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",white,Yes,CA,Donald Trump,1,$25k to $50k,Participated in Higher Education,56-75
59,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",white,Yes,NC,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree,56-75
51,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,OH,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,36-55
74,"Completed some graduate, but no degree",not hispanic,"$20,000 to $24,999",white,Yes,MD,Donald Trump,1,$25k or less,Completed 1 Higher Education Degree or more,56-75
55,"Completed some college, but no degree",not hispanic,"$60,000 to $64,999",white,Yes,FL,Joe Biden,0,$50k to $75k,Participated in Higher Education,36-55
62,Other post high school vocational training,not hispanic,"$15,000 to $19,999",white,Yes,WV,Donald Trump,1,$25k or less,Participated in Higher Education,56-75
42,High school graduate,not hispanic,"$30,000 to $34,999",white,No,OH,Joe Biden,0,$25k to $50k,Completed HS,36-55
81,"College Degree (such as B.A., B.S.)",not hispanic,"$30,000 to $34,999",white,Yes,NY,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,76 or Older
22,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",white,Yes,KY,Joe Biden,0,$25k to $50k,Participated in Higher Education,18-35
71,"College Degree (such as B.A., B.S.)",not hispanic,"$150,000 to $174,999",white,Yes,IN,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,56-75
41,"College Degree (such as B.A., B.S.)",not hispanic,"Less than $14,999",white,No,WA,Joe Biden,0,$25k or less,Completed 1 Higher Education Degree,36-55
71,"Completed some graduate, but no degree",not hispanic,"$40,000 to $44,999",white,No,IA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree or more,56-75
55,"College Degree (such as B.A., B.S.)",not hispanic,"$75,000 to $79,999",white,Yes,SC,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,36-55
68,Associate Degree,not hispanic,"$85,000 to $89,999",white,Yes,MN,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,56-75
69,"Completed some college, but no degree",not hispanic,"$90,000 to $94,999",white,Yes,GA,Donald Trump,1,$75k to $100k,Participated in Higher Education,56-75
33,Masters degree,not hispanic,"$75,000 to $79,999",white,Yes,PA,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree or more,18-35
70,"College Degree (such as B.A., B.S.)",not hispanic,"$60,000 to $64,999",white,Yes,NJ,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,56-75
32,Associate Degree,not hispanic,"$30,000 to $34,999",white,Yes,VA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,18-35
77,"Completed some college, but no degree",not hispanic,"$100,000 to $124,999",white,Yes,SC,Donald Trump,1,$100k to $150k,Participated in Higher Education,76 or Older
65,Associate Degree,not hispanic,"$100,000 to $124,999",white,No,TX,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree,56-75
22,"Completed some college, but no degree",not hispanic,"Less than $14,999",black/african american/negro,Yes,FL,Joe Biden,0,$25k or less,Participated in Higher Education,18-35
63,Masters degree,not hispanic,"$65,000 to $69,999",white,Yes,AZ,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree or more,56-75
79,Masters degree,not hispanic,"$45,000 to $49,999",white,Yes,IL,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree or more,76 or Older
70,"Completed some college, but no degree",not hispanic,"$75,000 to $79,999",white,No,OH,Donald Trump,1,$75k to $100k,Participated in Higher Education,56-75
54,Masters degree,not hispanic,"$80,000 to $84,999",white,Yes,OH,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree or more,36-55
